survey_name,length,kodiak,s_penn,east_aleut,west_aleut,bering_sea,chignik,tot_fish
CRAB2000,5,0,81274,0,0,0,0,81274
CRAB2000,6,0,116106,0,0,0,0,116106
CRAB2000,7,0,172624,0,0,0,10171,182795
CRAB2000,8,0,479828,0,0,0,30976,510804
CRAB2000,9,0,197491,0,0,0,0,197491
CRAB2000,10,0,0,0,0,0,5155,5155
CRAB2000,11,2111,0,0,0,0,0,2111
CRAB2000,16,0,0,0,0,0,942,942
CRAB2000,18,0,2402,0,0,0,0,2402
CRAB2000,19,0,6690,0,0,0,942,7631
CRAB2000,20,1489,18701,1356,0,0,2825,24371
CRAB2000,21,1861,14748,0,0,0,3253,19862
CRAB2000,22,0,16633,1043,0,0,4709,22385
CRAB2000,23,0,27093,2387,0,0,5651,35131
CRAB2000,24,0,27093,1031,0,0,9418,37542
CRAB2000,25,0,12136,6668,0,0,2825,21630
CRAB2000,26,0,26059,5425,0,0,942,32426
CRAB2000,27,963,28742,738,0,0,942,31385
CRAB2000,28,0,25542,4493,0,0,0,30035
CRAB2000,29,0,14677,2713,0,0,1557,18946
CRAB2000,30,570,17230,1356,0,0,0,19156
CRAB2000,31,3978,7212,0,0,0,942,12131
CRAB2000,32,2292,0,0,0,0,942,3234
CRAB2000,33,5533,0,2062,0,0,0,7595
CRAB2000,34,5230,630,1769,0,0,0,7629
CRAB2000,35,4931,5656,4137,0,0,0,14723
CRAB2000,36,6365,0,2500,0,0,0,8865
CRAB2000,37,3798,1885,5335,0,0,0,11018
CRAB2000,38,9348,6690,4137,0,0,0,20174
CRAB2000,39,6231,4363,6622,0,0,0,17216
CRAB2000,40,16217,12472,17230,0,0,0,45919
CRAB2000,41,18835,9267,16154,0,0,0,44255
CRAB2000,42,24521,12515,10593,0,0,0,47629
CRAB2000,43,14971,4062,18998,0,0,0,38031
CRAB2000,44,28948,19536,10719,0,0,0,59202
CRAB2000,45,27488,9652,22302,0,0,0,59442
CRAB2000,46,26072,23092,12878,0,0,948,62989
CRAB2000,47,69557,26649,11949,0,0,942,109097
CRAB2000,48,41837,35024,17920,0,0,10905,105685
CRAB2000,49,36488,59716,15564,0,0,0,111768
CRAB2000,50,59205,73476,14723,0,0,3544,150947
CRAB2000,51,42942,73564,13224,0,0,18942,148673
CRAB2000,52,64768,75090,9658,0,0,25676,175192
CRAB2000,53,105779,74359,5640,0,0,19803,205581
CRAB2000,54,125436,69773,9621,0,0,16391,221221
CRAB2000,55,122539,84565,10545,0,0,12594,230244
CRAB2000,56,137379,102126,20798,0,0,24162,284466
CRAB2000,57,121414,67086,10387,0,0,18299,217186
CRAB2000,58,126589,103710,8495,0,0,21884,260679
CRAB2000,59,133976,86091,9082,0,0,12073,241222
CRAB2000,60,194589,77722,10673,0,0,25437,308422
CRAB2000,61,159802,68569,11875,0,0,16814,257060
CRAB2000,62,183139,58017,5772,0,0,15779,262706
CRAB2000,63,193592,50851,8160,0,0,24465,277068
CRAB2000,64,171635,53208,17140,0,0,21189,263171
CRAB2000,65,143794,53004,9217,0,0,13519,219534
CRAB2000,66,145037,37013,8729,0,0,15569,206348
CRAB2000,67,159264,27998,10058,0,0,9587,206908
CRAB2000,68,115496,26914,13095,0,0,16643,172149
CRAB2000,69,91757,23455,15636,0,0,9895,140744
CRAB2000,70,113143,19116,7764,0,0,11894,151916
CRAB2000,71,78451,16220,4752,0,0,12163,111586
CRAB2000,72,51442,16803,5515,0,0,7985,81745
CRAB2000,73,38054,10439,7173,0,0,8536,64202
CRAB2000,74,37683,3255,7106,0,0,2552,50596
CRAB2000,75,30434,2704,1133,0,0,1864,36135
CRAB2000,76,32685,1745,2635,0,0,1738,38804
CRAB2000,77,15140,6936,3913,0,0,1557,27546
CRAB2000,78,16183,4958,1449,0,0,0,22590
CRAB2000,79,9908,9169,2373,0,0,869,22319
CRAB2000,80,10530,2134,767,0,0,0,13432
CRAB2000,81,4124,3453,1769,0,0,293,9639
CRAB2000,82,12121,835,1187,0,0,2563,16705
CRAB2000,83,7846,816,1289,0,0,0,9950
CRAB2000,84,0,0,1677,0,0,0,1677
CRAB2000,85,6415,6480,0,0,0,0,12895
CRAB2000,86,1180,860,0,0,0,0,2040
CRAB2000,87,6787,1941,0,0,0,0,8728
CRAB2000,88,7906,3295,0,0,0,0,11201
CRAB2000,89,258,747,0,0,0,0,1006
CRAB2000,90,0,805,1289,0,0,0,2094
CRAB2000,91,0,805,0,0,0,0,805
CRAB2000,92,4012,0,0,0,0,0,4012
CRAB2000,93,6583,2898,0,0,0,0,9482
CRAB2000,95,957,0,0,0,0,0,957
CRAB2000,96,581,0,0,0,0,0,581
CRAB2000,97,120,0,0,0,0,0,120
CRAB2000,98,0,884,0,0,0,0,884
CRAB2000,102,744,0,0,0,0,0,744
CRAB2001,7,0,3091,0,0,0,0,3091
CRAB2001,8,0,9305,0,0,0,0,9305
CRAB2001,9,0,8687,0,0,0,0,8687
CRAB2001,18,0,618,0,0,0,0,618
CRAB2001,19,0,0,0,0,0,2825,2825
CRAB2001,20,1823,16815,0,0,0,3767,22405
CRAB2001,21,1823,14049,0,0,0,12243,28115
CRAB2001,22,1823,26996,0,0,0,4709,33527
CRAB2001,23,6380,16000,0,0,0,6592,28972
CRAB2001,24,7362,22060,0,0,0,13968,43390
CRAB2001,25,1899,22227,0,0,0,11119,35245
CRAB2001,26,6893,37426,0,0,0,7534,51854
CRAB2001,27,13505,3363,0,0,0,3591,20459
CRAB2001,28,3134,5351,0,0,0,1783,10268
CRAB2001,29,8686,13483,0,0,0,2047,24216
CRAB2001,30,14156,2585,0,0,0,1884,18624
CRAB2001,31,3494,0,0,0,0,0,3494
CRAB2001,32,11181,7941,0,0,0,942,20064
CRAB2001,33,12906,1618,0,0,0,942,15466
CRAB2001,34,4284,3363,0,0,0,3544,11190
CRAB2001,35,810,8216,0,0,0,0,9026
CRAB2001,36,12636,17060,0,0,0,0,29696
CRAB2001,37,3311,19697,0,0,0,3544,26552
CRAB2001,38,818,25233,0,0,0,0,26051
CRAB2001,39,10174,26158,0,0,0,0,36331
CRAB2001,40,14153,41401,0,0,0,0,55553
CRAB2001,41,21078,37194,0,0,0,2505,60777
CRAB2001,42,35075,25181,0,0,0,7088,67343
CRAB2001,43,59101,25068,0,0,0,7088,91256
CRAB2001,44,47245,37861,0,0,0,18593,103699
CRAB2001,45,63343,43479,0,0,0,8036,114858
CRAB2001,46,119893,37484,0,0,0,5525,162901
CRAB2001,47,79789,41102,0,0,0,0,120891
CRAB2001,48,87669,43096,0,0,0,7088,137852
CRAB2001,49,148020,57772,0,0,0,7847,213638
CRAB2001,50,122905,36953,0,0,0,2101,161960
CRAB2001,51,112486,63448,0,0,0,4975,180910
CRAB2001,52,63516,46086,0,0,0,2242,111844
CRAB2001,53,88201,52005,0,0,0,5157,145363
CRAB2001,54,80441,34851,0,0,0,16189,131481
CRAB2001,55,178130,42600,0,0,0,13179,233909
CRAB2001,56,119873,58658,0,0,0,12474,191006
CRAB2001,57,105022,78588,0,0,0,14084,197693
CRAB2001,58,145732,50010,0,0,0,8686,204429
CRAB2001,59,171333,44324,0,0,0,16939,232596
CRAB2001,60,136844,48709,0,0,0,17713,203266
CRAB2001,61,177106,57296,0,0,0,34345,268747
CRAB2001,62,179279,46275,0,0,0,18711,244265
CRAB2001,63,129388,40462,0,0,0,29926,199775
CRAB2001,64,169631,49886,0,0,0,28232,247748
CRAB2001,65,217344,36189,0,0,0,23023,276556
CRAB2001,66,212804,32619,0,0,0,56726,302149
CRAB2001,67,212965,39335,0,0,0,26952,279252
CRAB2001,68,140784,43069,0,0,0,22103,205957
CRAB2001,69,154723,41542,0,0,0,27817,224083
CRAB2001,70,198775,38719,0,0,0,23977,261471
CRAB2001,71,116786,28952,0,0,0,32816,178554
CRAB2001,72,88880,31366,0,0,0,17611,137857
CRAB2001,73,46678,16264,0,0,0,18790,81732
CRAB2001,74,41931,9613,0,0,0,3884,55429
CRAB2001,75,83819,21273,0,0,0,9091,114183
CRAB2001,76,48566,6414,0,0,0,7399,62379
CRAB2001,77,55619,6623,0,0,0,6657,68899
CRAB2001,78,12418,6871,0,0,0,0,19289
CRAB2001,79,29910,1170,0,0,0,1650,32729
